<REMOVE> <40154, 9740> <2023-10-17 14:10:09>
<REMOVE> <12835, 1017> <2023-10-17 14:10:09>
<REMOVE> <225, 9987> <2023-10-17 14:10:09>
<REMOVE> <7406, 9332> <2023-10-17 14:10:09>
<REMOVE> <7406, 9332> <2023-10-17 14:10:09>
<ADD> <53324, 16862> <2023-10-17 14:10:16>
<REMOVE> <320, 12495> <2023-10-17 14:10:16>
<REMOVE> <1143, 5883> <2023-10-17 14:10:16>
<REMOVE> <13663, 414> <2023-10-17 14:10:16>
<REMOVE> <1093, 5572> <2023-10-17 14:10:16>
<ADD> <40824, 24556> <2023-10-17 14:10:21>
<ADD> <27714, 37617> <2023-10-17 14:10:21>
<ADD> <27853, 42441> <2023-10-17 14:10:21>
<REMOVE> <18590, 18617> <2023-10-17 14:10:21>
<REMOVE> <4950, 8813> <2023-10-17 14:10:21>
<ADD> <46280, 49413> <2023-10-17 14:55:25>
<ADD> <174, 11234> <2023-10-17 14:55:25>
<REMOVE> <4804, 5018> <2023-10-17 14:55:25>
<REMOVE> <32213, 5001> <2023-10-17 14:55:25>
<REMOVE> <20202, 19794> <2023-10-17 14:55:25>
<ADD> <29169, 18605> <2023-10-17 14:55:40>
<REMOVE> <27337, 8942> <2023-10-17 14:55:40>
<REMOVE> <13657, 6247> <2023-10-17 14:55:40>
<REMOVE> <19720, 8903> <2023-10-17 14:55:40>
<REMOVE> <18341, 3696> <2023-10-17 14:55:40>
<ADD> <10293, 6286> <2023-10-17 14:56:09>
<REMOVE> <6230, 25285> <2023-10-17 14:56:09>
<REMOVE> <3438, 29480> <2023-10-17 14:56:09>
<REMOVE> <11336, 282> <2023-10-17 14:56:09>
<REMOVE> <676, 13471> <2023-10-17 14:56:09>
<ADD> <4969, 30372> <2023-10-17 14:57:04>
<REMOVE> <23620, 24954> <2023-10-17 14:57:04>
<REMOVE> <5908, 3539> <2023-10-17 14:57:04>
<REMOVE> <10648, 10620> <2023-10-17 14:57:04>
<REMOVE> <9104, 39420> <2023-10-17 14:57:04>
<ADD> <55038, 20442> <2023-10-17 14:57:20>
<ADD> <40198, 21386> <2023-10-17 14:57:20>
<REMOVE> <24, 301> <2023-10-17 14:57:20>
<REMOVE> <19394, 40140> <2023-10-17 14:57:20>
<REMOVE> <7753, 37319> <2023-10-17 14:57:20>
<REMOVE> <993, 17837> <2023-10-17 14:57:28>
<REMOVE> <5646, 8556> <2023-10-17 14:57:28>
<REMOVE> <13064, 1041> <2023-10-17 14:57:28>
<REMOVE> <8510, 30244> <2023-10-17 14:57:28>
<REMOVE> <2948, 2975> <2023-10-17 14:57:28>
<ADD> <9182, 29045> <2023-10-17 14:57:40>
<ADD> <7368, 57782> <2023-10-17 14:57:40>
<REMOVE> <18368, 47250> <2023-10-17 14:57:40>
<REMOVE> <3817, 24152> <2023-10-17 14:57:40>
<REMOVE> <23118, 2036> <2023-10-17 14:57:40>
<ADD> <36291, 47702> <2023-10-17 14:59:33>
<REMOVE> <2917, 2819> <2023-10-17 14:59:33>
<REMOVE> <18428, 15335> <2023-10-17 14:59:33>
<REMOVE> <10365, 651> <2023-10-17 14:59:33>
<REMOVE> <3350, 4045> <2023-10-17 14:59:33>
<ADD> <14396, 15743> <2023-10-17 15:00:18>
<ADD> <28834, 48715> <2023-10-17 15:00:18>
<REMOVE> <28790, 3256> <2023-10-17 15:00:18>
<REMOVE> <8265, 8212> <2023-10-17 15:00:18>
<REMOVE> <8265, 8212> <2023-10-17 15:00:18>
<ADD> <23735, 37844> <2023-10-17 15:06:00>
<REMOVE> <29614, 29603> <2023-10-17 15:06:00>
<REMOVE> <32379, 32425> <2023-10-17 15:06:00>
<REMOVE> <13547, 15848> <2023-10-17 15:06:00>
<REMOVE> <16874, 753> <2023-10-17 15:06:00>
<ADD> <10245, 245> <2023-10-17 15:06:50>
<REMOVE> <4915, 1786> <2023-10-17 15:06:50>
<REMOVE> <25180, 2396> <2023-10-17 15:06:50>
<REMOVE> <3978, 44> <2023-10-17 15:06:50>
<REMOVE> <27775, 5632> <2023-10-17 15:06:50>
